2.000000000000000000e+00,3.149595000000000056e+01,3.100000000000000000e+01,3.300000000000000000e+01,-1.504050000000000109e+00,4.950000000000000000e+01,3.150187901563825932e+01,1.000000000000000000e+00
4.000000000000000000e+00,3.327720000000000056e+01,3.100000000000000000e+01,3.500000000000000000e+01,-1.722800000000000109e+00,4.950000000000000000e+01,3.322383194494748437e+01,1.000000000000000000e+00
6.000000000000000000e+00,3.427203999999999695e+01,3.100000000000000000e+01,3.700000000000000000e+01,-2.727959999999999940e+00,4.950000000000000000e+01,3.426460273309952953e+01,1.000000000000000000e+00
8.000000000000000000e+00,3.550643000000000171e+01,3.100000000000000000e+01,3.900000000000000000e+01,-3.493570000000000064e+00,4.950000000000000000e+01,3.550311089422959299e+01,1.000000000000000000e+00
1.000000000000000000e+01,3.672426999999999708e+01,3.100000000000000000e+01,4.100000000000000000e+01,-4.275730000000000253e+00,4.950000000000000000e+01,3.688138686131387090e+01,1.000000000000000000e+00
1.200000000000000000e+01,3.949501999999999668e+01,3.100000000000000000e+01,4.300000000000000000e+01,-3.504980000000000206e+00,4.950000000000000000e+01,3.950000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.327801000000000187e+01,3.100000000000000000e+01,4.500000000000000000e+01,-1.721989999999999910e+00,4.950000000000000000e+01,4.325766259656117541e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.650023999999999802e+01,3.100000000000000000e+01,4.700000000000000000e+01,-4.997599999999999820e-01,4.950000000000000000e+01,4.647744168162009970e+01,1.000000000000000000e+00
1.800000000000000000e+01,4.872435000000000116e+01,3.100000000000000000e+01,4.900000000000000000e+01,-2.756500000000000061e-01,4.950000000000000000e+01,4.876116795607686782e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.127443999999999846e+01,3.100000000000000000e+01,5.100000000000000000e+01,2.744400000000000173e-01,4.950000000000000000e+01,5.129494799405646432e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.329200000000000159e+01,3.100000000000000000e+01,5.300000000000000000e+01,2.919999999999999818e-01,4.950000000000000000e+01,5.331921462089405139e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.529484000000000066e+01,3.100000000000000000e+01,5.500000000000000000e+01,2.948399999999999910e-01,4.950000000000000000e+01,5.528915959148517345e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.728119000000000227e+01,3.100000000000000000e+01,5.700000000000000000e+01,2.811899999999999955e-01,4.950000000000000000e+01,5.728780427833783762e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.871347999999999701e+01,3.100000000000000000e+01,5.900000000000000000e+01,-2.865199999999999969e-01,4.950000000000000000e+01,5.874595588235293775e+01,1.000000000000000000e+00
3.000000000000000000e+01,6.073075000000000045e+01,3.100000000000000000e+01,6.100000000000000000e+01,-2.692499999999999893e-01,4.950000000000000000e+01,6.070066030814380298e+01,1.000000000000000000e+00
3.200000000000000000e+01,6.271927999999999770e+01,3.100000000000000000e+01,6.300000000000000000e+01,-2.807200000000000251e-01,4.950000000000000000e+01,6.266022031823745664e+01,1.000000000000000000e+00
3.400000000000000000e+01,6.472204000000000690e+01,3.100000000000000000e+01,6.500000000000000000e+01,-2.779599999999999849e-01,4.950000000000000000e+01,6.459112035225048487e+01,1.000000000000000000e+00
3.600000000000000000e+01,6.671947000000000116e+01,3.100000000000000000e+01,6.700000000000000000e+01,-2.805300000000000016e-01,4.950000000000000000e+01,6.646289752650176297e+01,1.000000000000000000e+00
3.800000000000000000e+01,6.872350000000000136e+01,3.100000000000000000e+01,6.900000000000000000e+01,-2.765000000000000235e-01,4.950000000000000000e+01,6.838557879377431448e+01,1.000000000000000000e+00
4.000000000000000000e+01,4.955677000000000021e+01,3.100000000000000000e+01,7.100000000000000000e+01,-2.144322999999999979e+01,4.950000000000000000e+01,7.158554097548898199e+01,2.000000000000000000e+00
