  32.50690,  31.00000,  33.00000,  -0.49310
  34.49454,  31.00000,  35.00000,  -0.50546
  36.34773,  31.00000,  37.00000,  -0.65227
  38.64354,  31.00000,  39.00000,  -0.35646
  40.49584,  31.00000,  41.00000,  -0.50416
  42.65361,  31.00000,  43.00000,  -0.34639
  44.65019,  31.00000,  45.00000,  -0.34981
  46.50214,  31.00000,  47.00000,  -0.49786
  48.35556,  31.00000,  49.00000,  -0.64444
  50.35106,  31.00000,  51.00000,  -0.64894
  52.50214,  31.00000,  53.00000,  -0.49786
  54.49941,  31.00000,  55.00000,  -0.50059
  56.50928,  31.00000,  57.00000,  -0.49072
  58.64182,  31.00000,  59.00000,  -0.35818
  60.49786,  31.00000,  61.00000,  -0.50214
  62.51059,  31.00000,  63.00000,  -0.48941
  64.50321,  31.00000,  65.00000,  -0.49679
  66.49429,  31.00000,  67.00000,  -0.50571
  68.64063,  31.00000,  69.00000,  -0.35937
  70.49464,  31.00000,  71.00000,  -0.50536
